Business_Name,Address,Telephone,Fax,Website,Description
Aigburth Hall Nurseries,"5 Aigburth Hall Avenue, Liverpool, L19 9EA, United Kingdom",01514273120,,,"Aigburth Hall Nurseries in Liverpool is one of the area's hidden gems. The garden centre has been running in one form or another for over 65 years and it is now a renowned local firm with a glowing customer-service reputation,
They listen to their customers and source probably 95% of their requirements. Plants which are sourced from local growers really are important to them, everything else is secondary. They pride themselves on good quality and value for money. It's the personal, helpful and friendly service that really sets them apart.
Aigburth Hall Nurseries - Passionate about Plants and People"
Alban Hill Nurseries,"High Street, Sherington, MK16 9QP, United Kingdom",01234711513,01234 240443,,
Alexandra Nurseries,"Estate House, 56B Parish Lane, Penge, SE20 7LJ, United Kingdom",02087784145,,http://www.alexandranurseries.co.uk,
Alexandra Palace Garden Centre,"Alexandra Palace, London, N22 7BB, United Kingdom",02084442555,020 8883 7937,http://www.capitalgardens.co.uk,
Alkham Valley Garden Centre,"Alkham Valley Road, Alkham, Dover, CT15 7EW, United Kingdom",01303893351,,http://www.alkhamvalley.com,
Allington Nursery,"Allington Lane, Fair Oak, Eastleigh, SO50 7DD, United Kingdom",02380600182,02380 602 248,http://www.allingtonnursery.com,
Almondsbury Garden Centre,"Over Lane, Almondsbury, Bristol, BS32 4BP, United Kingdom",01454457300,01454 457332,,
Altnagelvin Garden Centre,"100 Irish Street, Londonderry, BT47 2ND, United Kingdom",02871343846,02871 329042,,
Alton Garden Centre,"Arterial Road, North Benfleet, Wickford, SS12 9JG, United Kingdom",01268726421,01268 590825,http://www.alton-gardencentre.co.uk,
Amerton Garden Centre,"Amerton Farm, Amerton, Stafford, ST18 0LA, United Kingdom",,,,
Ansell Garden Centre,"Ansell Garden Centre, Holloway Lane, Harmondsworth, West Drayton, UB7 0AE, United Kingdom",02088976075,0208 8973358,http://www.ansellgardencentre.co.uk,"We are an independent garden centre offering a unique range of products and friendly service.  From garden gnomess to a large range of funiture, from bedding plants to exotic palms we have to offer.  We look forward to seeing you soon."
Anthony LBGC,"Hockliffe Road, Leighton Buzzard, LU7 9NX, United Kingdom",01525850100,,http://www.leightonbuzzardgardencentre.co.uk/,
Applegarth Nurseries,"Banbury Road, Chipping Norton, OX7 5SY, United Kingdom",01608641642,,http://www.applegarthnurseries.co.uk,
Archerfield Walled Garden,"The Walled Garden, Archerfield Estate, Dirleton, EH39 5HQ, United Kingdom",01620388588,,http://www.archerfieldwalledgarden.com,
Archers Low Nursery,"Ash Road, Sandwich, CT13 9JB, United Kingdom",01304613150,,,
Ardardan Estate,"Ardardan Estate, Cardross, Dumbarton, G82 5HD, United Kingdom",01389849188,01389 849188,http://www.ardardan.co.uk,
Arrow Mills Garden Centre,"Arrow Mills, Kington, HR5 3DU, United Kingdom",01544230536,,http://www.arrowmills.co.uk,"Within Kington we are the oldest family run business, originally for animal feeds, but now also a thriving Garden Centre. We have a wide selection of Perennials, Alpines, Bedding and Aquatics to suit each and every garden. Organic composts available. Our friendly staff will provide you with help and advice to enhance your garden. We will even load everything into your car or deliver free within Kington area. We manufacture our own specialist range of wild bird foods, as well as stocking an extensive range of feeders, which will encourage a myriad of feathered friends to visit your garden."
Ashtead Park Garden Centre,"Pleasure Pit Road, Ashtead, KT21 1HU, United Kingdom",01372273891,01372 271 242,,A newly expanded garden centre with excellent restaurant/cafÃ© and offering a wide range of plants and garden products.
Ashton Hall Garden Centre Limited,"Ashton Road, Thurnham, LA2 0AJ, United Kingdom",01524751767,01524 752388,http://www.ashtonhallgardencentre.co.uk,"Set in the high walled kitchen garden of the former lord Ashton's estate in Lancaster a well established business catering for all gardeners and non-gardeners.
Large ranges of shrubs and bedding, horticultural sundries, gifts, tools, garden furniture and stoneware.
Delicious homemade food and drinks available in the newly refurbished Pear Tree tearoom.
Friendly, knowledgeable and helpful staff.
Local delivery free of charge."
Ashwood Nurseries Ltd,"Ashwood Lower Lane, Ashwood, Kingswinford, DY6 0AE, United Kingdom",01384401996,01384 401108,http://www.ashwoodnurseries.com,"A traditional working nursery producing a large proportion of the plants, which are on sale. We have an international reputation for specialist plants including Hellebores, Hepatica, Lewisia, Hardy Cyclamen, Hydrangeas and Auriculas. We have a high quality Gift Shop and Tea Room serving home-made refreshments. We also offer a mail-order service to UK, Europe and beyond."
Avalon Garden Centre,"Tilford Road, Churt, Farnham, GU10 2LL, United Kingdom",01428604842,,,
Avant Gardens Ltd,"Wigan Road, Leyland, PR25 5XW, United Kingdom",01772433777,01772 436493,http://www.avantgardencentre.co.uk,"We are specialists in the more unusual, yet with a good A-Z selection. We also provide help and advice, particularly on fruit and veg with the aid of our display garden, we create hanging baskets to order and we stock National Garden Gift Vouchers.
Our café sells good value meals and homemade cakes. We have good access for the disabled.
Our unique drive through compost service, home delivery, furniture building and gift wrapping services aim to make your experience at Avant Gardens more enjoyable.
10% discount for pensioners on Tuesdays*
*(Terms and conditions apply)."
Avenue Nurseries Garden Centre,"The Avenue, Lasham, Alton, GU34 5SU, United Kingdom",01256381648,01256 381358,,
Averys Garden Centre,"Silk Mills Road, Bishops Hull, Taunton, TA1 5AA, United Kingdom",01823288324,,http://www.averysgardencentre.co.uk,
Avon Mill Garden Centre,"Woodleigh Road, Loddiswell, Kingsbridge, TQ7 4DD, United Kingdom",01548550338,01548 550793,http://www.avonmill.com,"Friendly local garden centre with an excellent reputation. Set in the beautiful Avon Valley. Plants and pots galore. Professional advice,  coffee shop and woodland walks. Avon Mill - Beautiful plants for your garden, stylish accessories for your home, amazing food for your larder, delicious food to eat, all set in the beautiful Avon Valley."
Aylett Nurseries Ltd,"North Orbital Road, St.Albans, AL2 1DH, United Kingdom",01727822255,01727 823024,http://www.aylettnurseries.co.uk,"Aylett Nurseries is an independent family run business. Established in 1955 the Nursery is famous for its Gold Medal Dahlias having been awarded a Gold medal for 36 consecutive years by the RHS. During spring the seasonal plant house is not to be missed full of home grown geraniums, fuchsias and hanging baskets. The plant area is well stocked with comprehensive range of shrubs, trees, herbaceous and climbing plants. Our garden shop stocks all the garden sundries that you would expect from a first class garden centre. Landscaping products, Garden furniture, Houseplants, Coffee Shop and Gift shop complete the picture."
Aylings Garden Centre,"Aylings Garden Centre, Trotton, Petersfield, GU31 5ES, United Kingdom",01730810430,,,
Aylsham Garden Centre,"Norwich Road, Aylsham, Norwich, NR11 6UD, United Kingdom",01263687005,,http://www.aylshamgardencentre.co.uk,
Azure Garden Centre,"Station Road, Cramlington, NE23 8BJ, United Kingdom",01670733762,01670 714446,http://www.azure-gardencentre.co.uk,"Whether you are looking for plants and gardening products, outdoor furniture and accessories or simply planning a day out, you are sure to enjoy browsing the shop and taking time out to enjoy a refreshing drink or a delicious home cooked meal in our Café. Plus the outdoor play area provides the perfect escape for younger visitors.
At Azure plants really are our passion. Our staff are committed to meeting all your gardening needs and our team includes experienced and formerly trained horticulturalists. We are also very proud that many of the plants we sell are home grown in our own horticultural nurseries. 
Azure Garden Centre & Café serve the local community but also given our excellent location close to both the A19 and A1, and with good transport links, we are also an excellent resource for visitors from far and wide.

The view our extensive range of products and to buy online please visit azure-gardencentre.co.uk"
B & Q,"B & Q House, Chestnut Avenue, Chandlers Ford, Eastleigh, SO53 3LE, United Kingdom",02380690000,02380 279 095,http://www.diy.com,
BGC South Ltd,"Bigby High Road, Brigg, DN20 9HE, United Kingdom",01652650484,,https://britishgardencentres.com/,
BHN Garden Centre,"BHN Garden Centre, East Hanningfield Road, Rettendon Common, Chelmsford, CM3 8EW, United Kingdom",01245400360,,http://www.bhngardencentre.co.uk/,"We are a retail nursery, and also grow most of our produce. We also have a large selection of tubs and plant containers, garden tools and gifts etc."
Bakers and Larners of Holt,"8-12 Market Place, Holt, NR25 6BW, United Kingdom",01263712244,01263 712720,http://www.bakersandlarners.co.uk,"Bakers and Larners of Holt are a long established family owned and controlled departmental store of some 241 years. Our core values are to supply superior customer service and a wide choice of quality merchandise. This is carried though to our Garden centre where trained horticulturalists, specimen plants and a full range of tools and garden requirements are maintained to a high standard. We can not only offer you the best but also deliver on our promise."
Ballylesson Nursery Centre,"148 Ballylesson Road, Belfast, Belfast, BT8 8JU, United Kingdom",02890826467,02890 826231,http://www.cameronlandscapes.com,"Visit our Garden Centre at Ballylesson and view for yourself the sheer ,quality and diverse range of stock available.  Mature and semi-mature ,trees are our specialty.  We can offer a superb selection to create any ,scheme or treat yourself to lunch in our new tranquil garden cafe."
Bampton Garden Plants,"Buckland Road, Bampton, OX18 2AA, United Kingdom",01993851326,01993851553,https://bamptongardenplants.co.uk,
Banwell Garden Centre Ltd,"Banwell Garden Centre, Castle Hill, Banwell, BS29 6NX, United Kingdom",01934822246,,,
Bardfield Garden Centre,"Braintree Road, Great Bardfield, Braintree, CM7 4PY, United Kingdom",01245408461,,http://www.countygardenmanagement.co.uk,
Bardill's  Roses and Garden Centre,"225 Toton Lane, Stapleford, Nottingham, NG9 7JB, United Kingdom",01159392478,01159 491725,https://www.bardills.com,
Barn Farm Plants,"Wardington, Banbury, OX17 1SN, United Kingdom",01295758080,01295 750745,http://www.barnfarmplants.co.uk,"For a complete gardening experience..... with a relaxing, friendly and open atmosphere offering a comprehensive range of good quality, value for money plants and garden products that you're sure to be delighted with. Our personal guarantee to you ... is that the plants and garden products that we sell to you will be of the highest quality and value for money."
Barn Garden & Aquatic Centre,"The Barn Garden Centre, Barnwell Road, Oundle, Peterborough, PE8 5PB, United Kingdom",01832273310,,http://thebarngardencentre.co.uk,
Barton Grange Garden Centre,"Garstang Road, Claughton on Brock, Preston, PR3 0BT, United Kingdom",01995642900,,http://www.bartongrange.co.uk,
Bashley Plant Centre,"Bashley Common Road, New Milton, BH25 5SG, United Kingdom",01425612442,,,"Largest stock of trees in the New Forest area, also good stock of hedging plants with free local delivery. Approximately 35 parking spaces"
Basingstoke Garden Centre Partnership,"Winchester Road, North Waltham, Basingstoke, RG25 2DJ, United Kingdom",,,,
Baskets & Blooms Fordingbridge,"Stuckton, Fordingbridge, SP6 2HG, United Kingdom",01425655150,,,
Baskets & Blooms West Parley,"392 Christchurch Road, West Parley, Ferndown, BH22 8SW, United Kingdom",01202582169,,,
Bathford Nurseries,"Box Road, Bath, BA1 7LR, United Kingdom",01225858188,,http://www.bathfordnurseries.co.uk,
Batsford Arboretum and Garden Centre,"Batsford Arboretum, Moreton-in-Marsh, GL56 9AT, United Kingdom",01386700409,01386 701829,http://www.batsarb.co.uk,"We offer a selection of many rare and unusual trees, shrubs and herbaceous plants. Our nursery is a specialist hardy fern producer and we give good sound customer advice. Approximately 100 parking spaces."
Bay Tree Nurseries Ltd,"Bay-Tree House, High Road, Weston, Spalding, PE12 6JU, United Kingdom",01406370242,01406 372829,http://www.baytree-gardencentre.com,
Bay View Garden Centre,"Bay View Nursery & Garden Centre, Mill Lane, Bolton Le Sands, Carnforth, LA5 8ET, United Kingdom",01524733780,,http://www.bayviewgardencentre.co.uk,
Baytree Hilgay,"Steel's Drove, West Fen Hilgay, Downham Market, PE38 0QH, United Kingdom",,,,
Beechcroft Nurseries,"Madeley Road, Madeley Heath, Belbroughton, Stourbridge, DY9 9XA, United Kingdom",01562710358,01562 710507,http://www.beechcroft.com,Probably the widest range of plants in the Midlands - discover the Nursery with the grow how!
Beetham Nurseries Ltd,"Pool Darkin Lane, Beetham, LA7 7AP, United Kingdom",01539563630,01539 564487,http://www.beethamnurseries.co.uk,"Family run Plant, Garden Centre and Tearoom. Our passion is to grow the finest, most unusual plants, shrubs and trees, providing value for money and excellent customer service. In 2008 our home grown plants won a Gold Medal at the RHS Flower Show in Tatton Park.
The Gift Shop is set in a delightful building features high quality, stylish gifts for the gardener.
Our Tearoom serves delicious light meals and snacks, refreshing drinks and scrumptious cakes. All of our soups, quiches and cakes are homemade each day and your meals are freshly prepared to order."
Bell Mills Garden Centre,"Bell Mills, Skerne Road, Driffield, YO25 6XL, United Kingdom",01377254043,01377 241270,http://www.bellmillsgardencentre.co.uk,
Bell Plantation Garden Centre Limited,"Plantation House, Watling Street, Towcester, NN12 6GX, United Kingdom",01327354126,01327 359751,http://www.bellplantation.co.uk,
Bellflower Garden Centre,"Woodfarm Business Centre, Stonham Rd, Crowfield, Ipswich, IP6 9TH, United Kingdom",01449711103,,,
Bellis Brothers Ltd,"Wrexham Road Farm, Wrexham Road, Holt, Wrexham, LL13 9YU, United Kingdom",01829270302,01829 271653,http://www.bellisbrothers.co.uk,Our garden centre offers an extensive range of quality garden products in an excellent shopping environment. Our large farm shop provides a wide range of farm produced goods. The Strawberry Fields Restaurant has a capacity for 200 people. Seasonal pick your own fruit and vegetables available from June onwards.
Belton Garden Centre,"Belton, Grantham, NG32 2LN, United Kingdom",01476563700,,,
Ben Reid Garden Centre & Nursery,"Countesswells Road, Aberdeen, AB15 7AL, United Kingdom",01224318744,01224 310104,http://www.ben-reid.co.uk,An attractive garden centre specialising in a very wide selection of plants many of which are grown on our own adjacent nursery
Ben View Nursery Ltd,"Ben View Nursery Ltd, Wardtoll, Balfron Station , G63 0QZ, United Kingdom",01360850525,,http://www.benviewgardencentre.co.uk,
Bennybeg Plant Centre,"Bennybeg Plant Centre, Muthill Road, Crieff, PH7 4HN, United Kingdom",01764656345,01764 656345,http://www.bennybeg.co.uk,"A small and friendly retail nursery, set in a picturesque rural setting. Fruit trees, ornamental trees & hedging (care-rooted in season). Extensive range of plants from shrubs to alpines. As always our emphasis is on providing strong healthy varieties that survive in this part of Scotland. Supply & installation of domestic greenhouses, poly tunnels and garden rooms. Friendly professional advice freely given."
Bents Garden & Home,"Warrington Road, Leigh End, Glazebury, Warrington, WA3 5NT, United Kingdom",01942266300,01942 266309,http://www.bents.co.uk,"Bents Garden & Home is a family owned garden centre that has evolved into a unique lifestyle destination where customers can discover the products, advice and inspiration to make outdoor and indoor living more beautiful. Winners of the GCA's Garden Centre of the Year 2009, 2010 & 2011 title, Bents offers quality home grown plants, approximately 60% of which are grown on-site, and expert advice, whilst successfully diversifying into other areas. Bents and its award winning restaurant is a respected retailer of quality and interior home products displayed in an inspirational manner, making for an enjoyable shopping experience and destination day out."
Bents Green Nurseries,"31 Muskoka Avenue, Sheffield, S11 7RL, United Kingdom",01142304101,01142 304101,,"The nursery offers a wide selection of perennials, shrubs, fruit and ornamental trees. We also grow a wide selection of summer bedding and basket plants. In addition we offer a full landscape and maintenance service.

HTA Garden Gift Vouchers sold and redeemed."
Bernard Crook Garden Services Ltd,"Bedford Road, Sherington, Newport Pagnell, MK16 9NQ, United Kingdom",01908610236,01908 210671,http://www.sheringtonnurseries.co.uk,Manufacture of reproduction stone rock features for the landscape trade (Literoc) rock water features constructed and installed to architect's specification. Approximately 50 car parking spaces.
Bernaville Nurseries,"Three Horseshoes, Cowley, Exeter, EX5 5EU, United Kingdom",01392851326,01392 851553,http://www.bernaville.co.uk,"A fantastic array of trees, shrubs, herbaceous perennials and expertise awaits you at this wonderful family run nursery. The newly extended shop area stocks a wide assortment of garden accessories, houseplants, gifts, furniture, bbq's, kitchenware, clothing and much, much more! Don't forget to leave time for a delicious coffee, tea, lunch or snack at the Lily  Pond Restaurant Open: Mon-Sat 9.00-5.30pm Sun: 10.30-4.30.,Find us on the A377 Crediton road, just outside Exeter."
Berwick Garden Centre,"East Ord, Berwick-upon-Tweed, TD15 2NS, United Kingdom",01289302383,01289 307182,http://www.berwickgardencentre.co.uk,Berwick Garden Centre is England's most northerly garden centre situated on the A1 midway between Newcastle-Upon-Tyne and Edinburgh. Attractions include a farm shop selling a wide range of locally produced food and a new 2 storey licensed restaurant. A new pet and aquatic department is due to open early 2006. Plants are displayed on raised beds and access for wheelchairs to the whole site is easy.
Bexley Garden Centre,"57 North Cray Road, Sidcup, DA14 5EU, United Kingdom",02083091442,020 36012786,http://www.bexleygardencentres.co.uk,
Bicester Garden Centre,"Bicester Avenue Garden Centre, Oxford Road, Bicester, OX25 2NY, United Kingdom",,,,
Bickerdikes Garden Centre,"Norton Road, Letchworth, SG6 1AG, United Kingdom",01462673333,01462 681660,http://www.bickerdikes.co.uk,"Bickerdikes Garden Centre sits amongst the beautiful Hertfordshire countryside on the edge of Letchworth Garden City. 
Since it opened on its present site in 1999 customers have been attracted by the knowledge that whatever their gardening requirements they can be confident of finding them on the 3 acre landscaped site.
Helpful and knowledgeable staff are always on hand to offer expert advice and information. Norton is Bickerdikes Coffee Shop which is very popular with our customers who can relax with a hot drink or excellent food amongst beautiful surroundings."
Billing Garden Store,"Billing Garden Store, The Causeway, Great Billing, Northampton, NN3 9EX, United Kingdom",,,,
Birchen Grove Garden Centre,"Chilcott Nursery, Birchen Grove, Kingsbury, London, NW9 8RY, United Kingdom",02089059189,020 8905 9091,http://www.greenhousegardencentre.co.uk,"Uniquely situated in 100 acres of open space yet close to the North Circular Road and Brent Cross Shopping Centre, Greenhouse Garden Centre is probably north London's largest Garden and Plant Centre. We stock a wide variety of plants and shrubs. The centre boasts 250 car parking spaces, a large 5,000 square metre covered sales area and carries a complete selection of plants and gardening goods for outside and inside the home. There is a large Indoor and Outdoor Fish Centre on site and a Garden Cafe offers hot and cold meals. Visit us any day. Our trained horticultural staff are here to help and inspire you."
Birchgrove Garden Centre,"Surfleet Road, Pinchbeck, Spalding, PE11 3XY, United Kingdom",01775680490,01775 680656,http://www.birchgrovegc.co.uk,"Birchgrove Garden Pet Aquatic and Equ8ine Centre Pinchbeck, Spalding - ample free parking, bus stops outside main gate. See our website www.birchgrovegc.co.uk for full details. Also within the grounds of Birchgrove is the Spalding Flower Museum, with the story of the bulb growing industry is told, more information on this museum can be found on our website."
Birkacre Garden Centre,"Birkacre Road, Chorley, PR7 3QL, United Kingdom",01257270473,01257 230973,http://www.birkacre.co.uk,"Birkacre Garden Centre has built a reputation for quality, service and value, which is unsurpassed in the area.
Novices and ""old hands"" alike will find everything they need to carry out those projects in the garden; the inspiration to get started, the expertise to help make the right choices and all the plant and equipment needed to get stuck in.
They also offer a staggering array of furniture, barbecues and lighting for the finishing touches and the ideal place to relax and contemplate those bigger decisions; Cameron's Restaurant, officially the ""Greatest garden centre catering team in the country."""
Birley Moor Garden Centre,"27 Moor Valley, Mosborough, Sheffield, S20 5BB, United Kingdom",01142480666,01142 513336,,"Family traditional run Garden Centre. We provide water features, garden furniture, a extensive range of exotic shrubs, plants and trees. We are renowned for all out exceptional range of pots, always good offers, national gift vouchers, and stone statues and garden ornaments."
Blackbrooks,"Bexhill Road, St. Leonards-on-Sea, TN38 8AR, United Kingdom",01424443414,,,
Blackbrooks,"A22 Lower Dicker, Hailsham, BN27 4BJ, United Kingdom",01323844834,,,
Blackbrooks Garden Centre,"R Winchester & Son Ltd, Main A21, Sedlescombe, Battle, TN33 0RJ, United Kingdom",01424870710,01424 435323,,"Blackbrooks Garden Centre is a family owned garden centre set in an ,area with many other tourest attractions. A wide product range is ,available on site including a good range of hardy plants along with all ,associated paving and fencing. The large shop area has on offer a full ,range of seasonal items and giftware along with all the associated ,gardening tools and chemicals. A pet and aquatic cente offer a full ,product range. Conservatories and greenhouses are supplied with a full ,installation service being provided. Cafe and Childrens Play Area!"
Blackdown Garden Centre,"Blackdown Garden Centre, West Buckland Road, Chelston, Wellington, TA21 9HY, United Kingdom",01823661699,,,
Blenheim Plant & Garden Centre,"Bromley Road, Ardleigh, Colchester, CO7 7SF, United Kingdom",01206870605,01206 793747,http://www.blenheimgardencentre.co.uk,"Blenheim Plant and Garden Centre is a popular and well established family business, with strong local knowledge. The centre stocks a wide range of bedding and basket plants, hardy garden plants, trees, fertilisers, weed killers, lawn treatments, compost, pots, watering equipment, tools, wild bird food, garden furniture and gifts. At Blenheim there is always someone on hand to help and advise on all aspects of gardening. The centre has an excellent reputation for the quality of its plants, many of which are grown on site. All of their hardy plants are backed by a five year guarantee."
Bloxham Nursery,"Chequer Tree Farm, Ells Lane, Bloxham, Banbury, OX15 5EE, United Kingdom",01608684835,,,
Blue Diamond Garden Centres,"PO Box 350, St Peter Port, GY1 3XA, Guernsey",01481210280,01481 231101,http://www.bluediamond.gg,"Group of garden centres, which provide a comprehensive product range together with a high level of customer service and first class restaurants."
Bodmin Nursery,"Laveddon Mill, Bodmin, PL30 5JU, United Kingdom",0120872837,01208 76491,http://www.bodminnursery.co.uk/,"Bodmin Plant & Herb Nursery is a proper nursery specializing in herbs and herbaceous perennials. There is also a wide range of shrubs, climbers, grasses, marginals, alpines, fruit & ornamental trees as well as many seasonal ideas. We are passionate plants people and are always on hand for friendly advice and service. The Nursery is in a wonderful countryside setting on the site of a 17th century water mill. Deliveries by arrangement. Open every day."
Bodnant Garden Centre,"Tal-y-Cafn, Colwyn Bay, LL28 5RE, United Kingdom",01492650731,01492 650863,http://www.bodnant-plants.co.uk,"Bodnant Garden Centre is situated adjacent to the famous 80 acre Bodnant Garden which is owned by the National Trust and attracts visitors from all over the world.
The Garden Centre is open all year round, seven days a week. We have a large selection of gifts and garden products and a good range of plants, some species unique to Bodnant.
Visit us online at www.bodnant-plants.co.uk."
Bonnell's The Florist,"Swiss Valley, 11a Market Precinct, Llanelli, SA15 1YF, United Kingdom",01554772180,,,
Bonny's Country Garden,"Bonnys, New Timbers, La Grande Route De St. Jean, St. John, JE3 4FZ, Jersey",01534865101,01534 865071,,"We are a small friendly nursery, where possible we grow our own bedding and herbaceous plants. Our main sales are in bedding plants and hanging baskets. We also stock  shrubs brought in from other wholesale nurseries."
Boonwood Garden Centre,"Gosforth, Seascale, CA20 1EA, United Kingdom",01946725330,01946 725330,http://www.boonwoodgardencentre.co.uk,
Bosworth's Garden Centre,"Elton Hall, Elton, Peterborough, PE8 6SH, United Kingdom",,,,
Bosworths Garden Centre,"Finedon Road, Burton Latimer, Burton Latimer, Kettering, NN15 5QA, United Kingdom",01536772635,0700 5981645,http://www.bosworthsgc.co.uk/,"Bosworth's are a growing garden centre, with their own nursery facilities producing most of the summer and winter bedding sold on the garden centre. The family run business offers a complete planting service for baskets and containers filling customers' own baskets, etc, with their chosen material as well as offering a selection for sale. They hold probably the most extensive range of terracotta and stoneware in the area, operate a delivery service, gift wrap planted arrangements as matter of course, and maintain a busy landscaping department. Poppies Coffee Shop offers a wide range of quality hot cold beverages, scrumptious cakes and light lunches."
Bourne Garden Centre,"578 Wherstead Road, Ipswich, IP2 8LS, United Kingdom",01473691567,,http://www.bournegardencentre.co.uk,We are an independent garden centre offering fantastic quality products with a high customer service.
Bourne Valley Garden Centre,"Woodham Park Road, Woodham, Addlestone, KT15 3TH, United Kingdom",01932342013,01932 342122,http://www.bournevalleygardencentre.co.uk,
Bow Garden & Aquatic Centre,"Bow, Nr. Crediton, EX17 6LA, United Kingdom",01363824380,01363824380,http://www.bowgardencentre.co.uk,
Brackendale Nurseries,"Horton Road, Three Legged Cross, Wimborne, BH21 6SD, United Kingdom",01202822349,01202 822349,http://www.brackendalenurseries.co.uk,"We are a family-run nursery, supplying a wide range of plants, including many different varieties of shrubs, climbers, rhododendrons, azaleas, alpines, herbs, perennials, heathers, trees, conifers and seasonal bedding. We specialise in the supply of specimen and hedging conifers - providing an instant solution to all screening and hedging requirements. Set in four acres of grounds, our well stocked borders have been planted to provide inspiration to both the novice and seasoned professional, and our experienced staff are always available to offer planting information. Landscape and garden maintenance service provided throughout the year."
Brackenwood Plant and Garden Centre,"Leigh Court Estate, Pill Road (A369), Abbots Leigh, Bristol, BS8 3RA, United Kingdom",01275375292,,http://www.brackenwood-plantandgardencentre.com,"A lovely family-run garden centre set within 12 arces backing onto leigh ,woods. Superb selection of trees, shrubs, perennials, exotics, herbs & alpines as well as seasonal plants much of which is grown on site. Also a large range of pots & planters, bulbs & seeds, tools & a wide selection of garden sundries & compsts.  The site now includes an 800metre long nature trail past ponds and through woodland and meadow giving visitors the chance to see a wonderful variety of Birds, wildflowers and wildlife. Open to prearranged guide parties only. Helpful knowledgeable staff & a tranquil rural setting. Seasons at Brackenwood, Tea Room open 7 days a week."
Bradgate Nurseries,"The Stables, Cockshut Lane, Melbourne, Derby, DE73 8DG, United Kingdom",01332865650,01332 865651,,"We are a Garden centre that sells a massive range of plants, garden furniture, gifts and much more. Many plants are grown ourselves at our nursery at Bradley, so we offer quality plants at resonable prices. Both centres have restaurants and provide enough for a day out with the family."
Bradley Fold Garden Centre,"Radcliffe Moor Road, Bolton, BL2 6RE, United Kingdom",01204529949,01204 529949,,
Braithwaites Garden Centre,"Floral Nurseries, Leeming Bar, Northallerton, DL7 9BG, United Kingdom",01677422861,01677 426847,,"Small established family business (1890). Producing 90% of all our stock. All lines hardy in the North. Specialised rose growers, ornament trees and fruit trees."
